aimmark,mark_id,user_id,marktype_config_id,duration,mean_duration,mode_duration,median_duration,stdev_duration,iqrdev_duration,devmean_duration,devmode_duration,devmedian_duration
https://sq2.go.mail.ru/manager/aimmark/view/143952379,154333306,1833,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143951942,154333223,1833,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952389,154332862,2084,154,116,64.827,12,23.0,180.648,15.0,51.173,104,93.0
https://sq2.go.mail.ru/manager/aimmark/view/143952173,154333092,1833,154,26,64.827,12,23.0,180.648,15.0,-38.827,14,3.0
https://sq2.go.mail.ru/manager/aimmark/view/143952382,154332947,1833,154,34,64.827,12,23.0,180.648,15.0,-30.827,22,11.0
https://sq2.go.mail.ru/manager/aimmark/view/143952318,154333122,2102,154,10,64.827,12,23.0,180.648,15.0,-54.827,-2,-13.0
https://sq2.go.mail.ru/manager/aimmark/view/143952283,154333022,2102,154,18,64.827,12,23.0,180.648,15.0,-46.827,6,-5.0
https://sq2.go.mail.ru/manager/aimmark/view/143952151,154332723,2102,154,12,64.827,12,23.0,180.648,15.0,-52.827,0,-11.0
https://sq2.go.mail.ru/manager/aimmark/view/143952112,154332921,1833,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952424,154332804,2117,154,148,64.827,12,23.0,180.648,15.0,83.173,136,125.0
https://sq2.go.mail.ru/manager/aimmark/view/143952336,154332645,2127,154,325,64.827,12,23.0,180.648,15.0,260.173,313,302.0
https://sq2.go.mail.ru/manager/aimmark/view/143952368,154332722,2102,154,243,64.827,12,23.0,180.648,15.0,178.173,231,220.0
https://sq2.go.mail.ru/manager/aimmark/view/143952232,154332922,700,154,15,64.827,12,23.0,180.648,15.0,-49.827,3,-8.0
https://sq2.go.mail.ru/manager/aimmark/view/143952290,154332880,1833,154,48,64.827,12,23.0,180.648,15.0,-16.827,36,25.0
https://sq2.go.mail.ru/manager/aimmark/view/143952303,154332736,700,154,216,64.827,12,23.0,180.648,15.0,151.173,204,193.0
https://sq2.go.mail.ru/manager/aimmark/view/143952350,154332684,700,154,275,64.827,12,23.0,180.648,15.0,210.173,263,252.0
https://sq2.go.mail.ru/manager/aimmark/view/143952397,154332867,1833,154,49,64.827,12,23.0,180.648,15.0,-15.827,37,26.0
https://sq2.go.mail.ru/manager/aimmark/view/143952330,154332639,2117,154,294,64.827,12,23.0,180.648,15.0,229.173,282,271.0
https://sq2.go.mail.ru/manager/aimmark/view/143952315,154332886,8,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952321,154332876,8,154,17,64.827,12,23.0,180.648,15.0,-47.827,5,-6.0
https://sq2.go.mail.ru/manager/aimmark/view/143952351,154332842,8,154,41,64.827,12,23.0,180.648,15.0,-23.827,29,18.0
https://sq2.go.mail.ru/manager/aimmark/view/143952039,154332853,2084,154,20,64.827,12,23.0,180.648,15.0,-44.827,8,-3.0
https://sq2.go.mail.ru/manager/aimmark/view/143952411,154332858,1833,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952266,154332822,8,154,50,64.827,12,23.0,180.648,15.0,-14.827,38,27.0
https://sq2.go.mail.ru/manager/aimmark/view/143952252,154332844,1833,154,22,64.827,12,23.0,180.648,15.0,-42.827,10,-1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952403,154332817,1487,154,57,64.827,12,23.0,180.648,15.0,-7.827,45,34.0
https://sq2.go.mail.ru/manager/aimmark/view/143952409,154332799,1487,154,67,64.827,12,23.0,180.648,15.0,2.173,55,44.0
https://sq2.go.mail.ru/manager/aimmark/view/143952339,154332836,1833,154,22,64.827,12,23.0,180.648,15.0,-42.827,10,-1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952285,154332840,2084,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952062,154331871,2084,154,1111,64.827,12,23.0,180.648,15.0,1046.173,1099,1088.0
https://sq2.go.mail.ru/manager/aimmark/view/143952333,154332689,587,154,191,64.827,12,23.0,180.648,15.0,126.173,179,168.0
https://sq2.go.mail.ru/manager/aimmark/view/143952396,154332829,1833,154,15,64.827,12,23.0,180.648,15.0,-49.827,3,-8.0
https://sq2.go.mail.ru/manager/aimmark/view/143952425,154332811,8,154,41,64.827,12,23.0,180.648,15.0,-23.827,29,18.0
https://sq2.go.mail.ru/manager/aimmark/view/143951965,154331863,2084,154,1111,64.827,12,23.0,180.648,15.0,1046.173,1099,1088.0
https://sq2.go.mail.ru/manager/aimmark/view/143952415,154332819,1833,154,20,64.827,12,23.0,180.648,15.0,-44.827,8,-3.0
